"Source:","C:\Users\Eddie\Desktop\SYNTH ACTUAL\as3340\as3340_no_mux\as3340_no_mux.kicad_sch"
"Date:","4/30/2023 12:18:08 AM"
"Tool:","Eeschema (6.0.5)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","129"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, C4, ","2","100nf","C","Capacitor_THT:CP_Radial_D4.0mm_P1.50mm","Capacitor symbol for simulation only",""
"C2, C5, C9, C10, ","4","10nf","C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","Capacitor symbol for simulation only",""
"C3, C6, C7, C8, C11, C12, ","6","1nf","C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","Capacitor symbol for simulation only",""
"D1, D2, ","2","DIODE","DIODE","Diode_THT:D_A-405_P7.62mm_Horizontal","Diode symbol for simulation only. Pin order incompatible with official kicad footprints",""
"J1, J6, ","2","PWM Input","AudioJack2","Connector_Audio:Jack_3.5mm_PJ320E_Horizontal","Audio Jack, 2 Poles (Mono / TS)",""
"J2, J7, ","2","HardSyncInput","AudioJack2","Connector_Audio:Jack_3.5mm_PJ320E_Horizontal","Audio Jack, 2 Poles (Mono / TS)",""
"J3, J8, ","2","SoftSyncInput","AudioJack2","Connector_Audio:Jack_3.5mm_PJ320E_Horizontal","Audio Jack, 2 Poles (Mono / TS)",""
"J4, J9, ","2","LinearFMInput","AudioJack2","Connector_Audio:Jack_3.5mm_PJ320E_Horizontal","Audio Jack, 2 Poles (Mono / TS)",""
"J5, J10, ","2","CV1","AudioJack2","Connector_Audio:Jack_3.5mm_PJ320E_Horizontal","Audio Jack, 2 Poles (Mono / TS)",""
"J11, ","1","Conn_02x05_Odd_Even","Conn_02x05_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical","Generic connector, double row, 02x05, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J12, J16, ","2","SQR OUT","AudioJack2","Connector_Audio:Jack_3.5mm_PJ320E_Horizontal","Audio Jack, 2 Poles (Mono / TS)",""
"J13, J17, ","2","SAW OUT","AudioJack2","Connector_Audio:Jack_3.5mm_PJ320E_Horizontal","Audio Jack, 2 Poles (Mono / TS)",""
"J14, J18, ","2","TRI OUT","AudioJack2","Connector_Audio:Jack_3.5mm_PJ320E_Horizontal","Audio Jack, 2 Poles (Mono / TS)",""
"J15, J19, ","2","SIN OUT","AudioJack2","Connector_Audio:Jack_3.5mm_PJ320E_Horizontal","Audio Jack, 2 Poles (Mono / TS)",""
"PWM1, PWM2, ","2","100kPot","R_Potentiometer","Potentiometer_THT:Potentiometer_Vishay_148-149_Single_Horizontal","Potentiometer",""
"R1, R24, R27, R30, R31, R32, R33, R36, R41, R62, R63, R64, R65, ","13","100k","R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Resistor",""
"R2, R3, ","2","10k","R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","Resistor",""
"R4, R5, ","2","47k","R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Resistor",""
"R6, R7, R16, R18, R20, R23, ","6","100k","R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","Resistor",""
"R8, R9, R40, R45, R48, R49, R60, R61, ","8","47k","R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","Resistor",""
"R10, R13, ","2","1.5M","R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","Resistor",""
"R11, R14, R17, R19, R21, R22, R37, R42, ","8","1M","R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","Resistor",""
"R12, R15, R25, R28, ","4","470","R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Resistor",""
"R26, R29, ","2","200k","R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Resistor",""
"R34, R35, ","2","4.7k","R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Resistor",""
"R38, R43, ","2","24k","R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Resistor",""
"R39, R44, ","2","5.6k","R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","Resistor",""
"R46, R47, ","2","1.8k","R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Resistor",""
"R50, R52, ","2","910","R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Resistor",""
"R51, R53, R66, R67, R68, R69, R70, R71, R72, R73, ","10","1k","R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Resistor",""
"R54, R56, ","2","20k","R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Resistor",""
"R55, R57, ","2","470k","R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Resistor",""
"R58, R59, ","2","2k","R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","Resistor",""
"RV1, RV2, RV3, RV4, ","4","100kPot","R_Potentiometer","Potentiometer_THT:Potentiometer_Vishay_148-149_Single_Horizontal","Potentiometer",""
"RV5, ","1","20k Pot","R_Potentiometer","Potentiometer_THT:Potentiometer_ACP_CA6-H2,5_Horizontal","Potentiometer",""
"RV6, RV9, RV10, ","3","10k Pot","R_Potentiometer","Potentiometer_THT:Potentiometer_ACP_CA6-H2,5_Horizontal","Potentiometer",""
"RV7, RV8, ","2","100k Pot","R_Potentiometer","Potentiometer_THT:Potentiometer_ACP_CA6-H2,5_Horizontal","Potentiometer",""
"SineBiasTrim1, SineBiasTrim2, ","2","100k Pot","R_Potentiometer","Potentiometer_THT:Potentiometer_ACP_CA6-H2,5_Horizontal","Potentiometer",""
"SineLevelTrim1, SineLevelTrim2, ","2","1M Pot","R_Potentiometer","Potentiometer_THT:Potentiometer_ACP_CA6-H2,5_Horizontal","Potentiometer",""
"SineShapeTrim1, SineShapeTrim2, ","2","100k Pot","R_Potentiometer","Potentiometer_THT:Potentiometer_ACP_CA6-H2,5_Horizontal","Potentiometer",""
"U1, ","1","LM13700","LM13700","Package_DIP:DIP-16_W7.62mm","Dual Operational Transconductance Amplifiers with Linearizing Diodes and Buffers, DIP-16/SOIC-16",""
"U2, U3, ","2","AS3340","AS3340","Package_DIP:DIP-16_W7.62mm","Voltage Controlled Oscillator (VCO), DIP-16/SOIC-16",""
"U4, U5, ","2","LM324","LM324","Package_DIP:DIP-14_W7.62mm","Low-Power, Quad-Operational Amplifiers, DIP-14/SOIC-14/SSOP-14",""
